{(X, 0, 0, ), (0, 0, 0, ), (0, 0, O, ), }
{(X, X, 0, ), (0, 0, 0, ), (O, 0, O, ), }
{(X, X, X, ), (0, O, 0, ), (O, 0, O, ), }
{(X, 0, 0, ), (0, 0, 0, ), (0, 0, O, ), }
{(X, X, 0, ), (0, 0, 0, ), (O, 0, O, ), }
{(X, X, X, ), (0, O, 0, ), (O, 0, O, ), }
{(0, 0, 0, ), (0, 0, 0, ), (0, 0, 0, ), }
{(X, 0, 0, ), (0, 0, 0, ), (0, 0, O, ), }
{(X, 0, 0, ), (0, 0, O, ), (0, X, O, ), }
{(X, 0, X, ), (O, 0, O, ), (0, X, O, ), }
{(X, 0, X, ), (O, O, O, ), (X, X, O, ), }
{(0, 0, 0, ), (0, 0, 0, ), (0, 0, 0, ), }
{(0, O, 0, ), (0, 0, 0, ), (0, 0, X, ), }
{(0, O, 0, ), (0, O, 0, ), (X, 0, X, ), }
{(0, O, X, ), (O, O, 0, ), (X, 0, X, ), }
{(O, O, X, ), (O, O, 0, ), (X, X, X, ), }
{(0, 0, 0, ), (0, 0, 0, ), (0, 0, 0, ), }
{(0, 0, 0, ), (0, X, 0, ), (0, 0, O, ), }
{(0, 0, 0, ), (0, X, X, ), (O, 0, O, ), }
{(0, O, X, ), (0, X, X, ), (O, 0, O, ), }
{(0, O, X, ), (O, X, X, ), (O, X, O, ), }
{(X, O, X, ), (O, X, X, ), (O, X, O, ), }
{( ,  ,  , ), ( ,  ,  , ), ( ,  ,  , ), }
{(X,  ,  , ), ( ,  ,  , ), ( ,  , O, ), }
{(X, X,  , ), ( ,  ,  , ), (O,  , O, ), }
{(X, X, X, ), ( ,  ,  , ), (O,  , O, ), }
